"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones"
"El Mesón de la Patagonia","4.3","72","Lo Barnechea 1223, 7690241 Lo Barnechea, Región Metropolitana","9 8527 8105","http://www.meson.cl/","Restaurante","https://www.google.com/maps/place/El+Mes%C3%B3n+de+la+Patagonia/data=!4m7!3m6!1s0x9662cbeb09419aab:0x4447846d929df05b!8m2!3d-33.3574868!4d-70.506569!16s%2Fg%2F1tgf4dy7!19sChIJq5pBCevLYpYRW_Cdkm2ER0Q?authuser=0&hl=es-419&rclk=1","-33.3574868","-70.506569","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Tanaka La Dehesa","4.5","548","El Rodeo 13032, 7690771 Santiago, Lo Barnechea, Región Metropolitana","9 3207 7338","https://tanaka.cl/la-dehesa/","Restaurante","https://www.google.com/maps/place/Tanaka+La+Dehesa/data=!4m7!3m6!1s0x9662cbec0d115fa7:0xf24a8d6cb42a156c!8m2!3d-33.3522299!4d-70.517146!16s%2Fg%2F11gy7ylyxb!19sChIJp18RDezLYpYRbBUqtGyNSvI?authuser=0&hl=es-419&rclk=1","-33.3522299","-70.517146","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"UDON Portal La Dehesa","4.8","394","Av. La Dehesa 1445, Local 1106, 7690130 Lo Barnechea, Región Metropolitana","","https://www.udon.cl/restaurante/portal-dehesa/","Restaurante asiático","https://www.google.com/maps/place/UDON+Portal+La+Dehesa/data=!4m7!3m6!1s0x9662cb5ba46928af:0x14c5dc5b672f2604!8m2!3d-33.3573513!4d-70.5151516!16s%2Fg%2F11yqb6qxky!19sChIJryhppFvLYpYRBCYvZ1vcxRQ?authuser=0&hl=es-419&rclk=1","-33.3573513","-70.5151516","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
"La Fabbrica - La Dehesa","4.2","206","El Rodeo 12850, local 76, 7700401 Lo Barnechea, Región Metropolitana","9 2872 4809","http://la-fabbrica.cl/","Restaurante italiano","https://www.google.com/maps/place/La+Fabbrica+-+La+Dehesa/data=!4m7!3m6!1s0x9662cb28fc851d5d:0x75c5011bd73c3896!8m2!3d-33.3521845!4d-70.5200252!16s%2Fg%2F11kc0_lbb1!19sChIJXR2F_CjLYpYRljg81xsBxXU?authuser=0&hl=es-419&rclk=1","-33.3521845","-70.5200252","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Barrica 94","4.5","835","Av. José Alcalde Délano 10533, local 1508, Lo Barnechea, Región Metropolitana","(2) 3210 2200","http://www.barrica94.cl/","Restaurante","https://www.google.com/maps/place/Barrica+94/@-33.3567819,-70.5400355,17z/data=!3m1!4b1!4m6!3m5!1s0x9662c59ac22dc56b:0x1403cd9464826478!8m2!3d-33.3567819!4d-70.5400355!16s%2Fg%2F11bwh9wr9_?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.3567819","-70.5400355","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Delfina Bistro","4.8","103","Av. La Dehesa 1201, 7690277 Lo Barnechea, Región Metropolitana","9 7807 1773","https://www.instagram.com/delfina_bistro","Taberna","https://www.google.com/maps/place/Delfina+Bistro/data=!4m7!3m6!1s0x9662cb0044df1c5d:0xcb72375c0611c704!8m2!3d-33.36034!4d-70.5148406!16s%2Fg%2F11xp4kcj0w!19sChIJXRzfRADLYpYRBMcRBlw3css?authuser=0&hl=es-419&rclk=1","-33.36034","-70.5148406","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Doña Tina","4.4","05","Cam. los Refugios del Arrayan 15125, Lo Barnechea, Región Metropolitana","(2) 2321 6546","http://www.donatina.cl/","Restaurante","https://www.google.com/maps/place/Do%C3%B1a+Tina/@-33.3610734,-70.4920546,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cb90b5ce7e15:0xd77184d3077867ff!8m2!3d-33.3610734!4d-70.4920546!16s%2Fg%2F1hjgq14dc?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.3610734","-70.4920546","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"La Divina Comida","4.3","418","Los Patos 13735, 7690708 Lo Barnechea, Región Metropolitana","(2) 3221 1823","https://www.ladivinacomida.cl/","Restaurante italiano","https://www.google.com/maps/place/La+Divina+Comida/data=!4m7!3m6!1s0x9662cf05717c5b7b:0x4d119a3b0367fb!8m2!3d-33.3593793!4d-70.5072727!16s%2Fg%2F12lv_2r91!19sChIJe1t8cQXPYpYR-2cDO5oRTQA?authuser=0&hl=es-419&rclk=1","-33.3593793","-70.5072727","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Aleman Experto La Dehesa","4.4","06","Av. La Dehesa 1670, 7690253 Lo Barnechea, Región Metropolitana","(2) 3267 1637","http://www.alemanexperto.cl/","Restaurante","https://www.google.com/maps/place/Aleman+Experto+La+Dehesa/data=!4m7!3m6!1s0x9662cbdd07f40b67:0x915b5dbe49b78295!8m2!3d-33.3573537!4d-70.5176429!16s%2Fg%2F11g8ygtnln!19sChIJZwv0B93LYpYRlYK3Sb5dW5E?authuser=0&hl=es-419&rclk=1","-33.3573537","-70.5176429","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Margo la Dehesa","4.4","879","Manquehue Ote. 2030, Lo Barnechea, Región Metropolitana","(2) 2244 5902","http://www.margo.cl/","Restaurante","https://www.google.com/maps/place/Margo+la+Dehesa/data=!4m7!3m6!1s0x9662c96a2dfd1409:0x725f7a3109c9c0e1!8m2!3d-33.3614438!4d-70.5450202!16s%2Fg%2F11bvvyh5n_!19sChIJCRT9LWrJYpYR4cDJCTF6X3I?authuser=0&hl=es-419&rclk=1","-33.3614438","-70.5450202","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
